,Customer ID,recency,frequency,monetary,segment,Recency_n,Frequency_n,Monetary_n,clusters
0,12346.0,327,1,77183.6,hibernating,0.87,0.0,0.28,2
1,12347.0,4,7,4310.000000000001,champions,0.01,0.03,0.02,0
2,12348.0,77,4,1797.24,at_risk,0.2,0.01,0.01,3
3,12349.0,20,1,1757.5500000000002,promising,0.05,0.0,0.01,0
4,12350.0,312,1,334.40000000000003,hibernating,0.83,0.0,0.0,2
5,12352.0,38,8,2506.0400000000004,loyal_customers,0.1,0.03,0.01,0
6,12353.0,206,1,89.0,hibernating,0.55,0.0,0.0,5
7,12354.0,234,1,1079.3999999999999,hibernating,0.62,0.0,0.0,5
8,12355.0,216,1,459.4,hibernating,0.57,0.0,0.0,5
9,12356.0,24,3,2811.43,potential_loyalists,0.06,0.01,0.01,0
10,12357.0,35,1,6207.67,about_to_sleep,0.09,0.0,0.02,0
11,12358.0,3,2,1168.06,potential_loyalists,0.0,0.0,0.0,0
12,12359.0,59,4,6372.58,loyal_customers,0.15,0.01,0.02,3
13,12360.0,54,3,2662.06,need_attention,0.14,0.01,0.01,3
14,12361.0,289,1,189.89999999999998,hibernating,0.77,0.0,0.0,5
15,12362.0,5,10,5226.23,champions,0.01,0.04,0.02,0
16,12363.0,111,2,552.0,hibernating,0.29,0.0,0.0,3
17,12364.0,9,4,1313.1000000000001,champions,0.02,0.01,0.0,0
18,12365.0,293,2,641.3799999999999,hibernating,0.78,0.0,0.0,2
19,12367.0,6,1,168.89999999999998,new_customers,0.01,0.0,0.0,0
20,12370.0,53,4,3545.6899999999996,loyal_customers,0.14,0.01,0.01,3
21,12371.0,46,2,1887.96,about_to_sleep,0.12,0.0,0.01,0
22,12372.0,73,3,1298.0400000000002,need_attention,0.19,0.01,0.0,3
23,12373.0,313,1,364.6,hibernating,0.83,0.0,0.0,2
24,12374.0,27,1,742.93,promising,0.07,0.0,0.0,0
25,12375.0,12,2,457.5,potential_loyalists,0.03,0.0,0.0,0
26,12377.0,317,2,1628.12,hibernating,0.84,0.0,0.01,2
27,12378.0,131,1,4008.62,hibernating,0.35,0.0,0.01,1
28,12379.0,83,2,852.24,hibernating,0.22,0.0,0.0,3
29,12380.0,23,4,2724.8100000000004,loyal_customers,0.06,0.01,0.01,0
30,12381.0,6,5,1845.3100000000004,champions,0.01,0.02,0.01,0
31,12383.0,186,5,1850.5600000000002,at_risk,0.49,0.02,0.01,1
32,12384.0,30,2,585.2700000000001,potential_loyalists,0.08,0.0,0.0,0
33,12386.0,339,2,401.9,hibernating,0.9,0.0,0.0,2
34,12388.0,17,6,2780.6600000000003,loyal_customers,0.04,0.02,0.01,0
35,12390.0,81,1,549.84,hibernating,0.21,0.0,0.0,3
36,12391.0,23,1,460.89,promising,0.06,0.0,0.0,0
37,12393.0,74,4,1582.6000000000001,at_risk,0.19,0.01,0.01,3
38,12394.0,65,2,1272.48,about_to_sleep,0.17,0.0,0.0,3
39,12395.0,21,12,3018.63,loyal_customers,0.05,0.05,0.01,0
40,12397.0,37,2,2409.9000000000005,about_to_sleep,0.09,0.0,0.01,0
